year,countyID,tractID,white,black,other
1950,510,21C,2058,15240,9
1950,510,21D,995,6696,12
1950,510,22A,4442,7736,8
1950,510,22B,567,5457,4
1950,510,22C,792,318,0
1950,510,22D,11088,304,10
1950,510,23A,12865,9,4
1950,510,23B,12514,6,10
1950,510,23C,9915,3,11
1950,510,23D,18317,157,18
1950,510,23E,5138,1041,14
1950,510,24A,10037,3,0
1950,510,24B,7739,1,3
1950,510,24C,11719,5,5
1950,510,24D,2797,5,6
1950,510,24E,3985,13,2
1950,510,25A,1983,1097,2
1950,510,25B,2648,9121,3
1950,510,25C,2866,13,3
1950,510,25D,885,16,0
1950,510,26A,11629,194,2
1950,510,26B,3866,954,0
1950,510,26C,7275,83,0
1950,510,26D,5740,1,3
1950,510,26E,4999,5,1
