year,countyID,tractID,white,black,other
1970,189,2101,5399,61,6
1970,189,2102,9240,16,0
1970,189,2103,4429,73,9
1970,189,2104,4700,9,6
1970,189,2105,10927,46,23
1970,189,2106,8356,167,105
1970,189,2107,10319,14,8
1970,189,210801,8821,81,10
1970,189,210802,11518,239,113
1970,189,210901,3293,10,6
1970,189,210902,8036,89,0
1970,189,210903,9318,110,5
1970,189,2110,10852,32,46
1970,189,2111,14411,56,7
1970,189,2112,11704,71,51
1970,189,211301,10755,76,30
1970,189,211302,5653,63,0
1970,189,211303,16191,32,126
1970,189,2114,6223,987,9
1970,189,2115,3969,922,18
1970,189,2116,9107,22,4
1970,189,2117,5097,0,0
1970,189,2118,9883,43,18
1970,189,2119,3541,0,8
1970,189,2120,15031,157,45
1970,189,2121,9829,74,7
1970,189,2122,8041,2855,22
1970,189,2123,5048,80,15
1970,189,2124,2973,0,13
1970,189,2125,6605,11,33
1970,189,2126,6544,103,4
1970,189,2127,10515,119,78
1970,189,2128,1169,5225,0
1970,189,2129,6345,756,32
1970,189,2130,1898,47,21
1970,189,213101,9873,99,32
1970,189,213102,3495,4,3
1970,189,213201,6714,6,5
1970,189,213202,7241,13,96
1970,189,2133,10242,89,20
1970,189,2134,10168,15,19
1970,189,2135,7105,0,9
1970,189,2136,7496,29,37
1970,189,2137,8104,305,31
1970,189,2138,5568,3221,40
1970,189,2139,1343,3457,0
1970,189,2140,485,1069,0
1970,189,2141,1265,728,6
1970,189,2142,3737,512,0
1970,189,2143,5785,448,36
1970,189,2144,7518,63,22
1970,189,2145,4392,21,24
1970,189,2146,12378,71,10
1970,189,2147,8730,702,0
1970,189,2148,7910,0,21
1970,189,2149,6036,0,6
1970,189,215001,2278,5,9
1970,189,215002,5542,16,22
1970,189,215003,5590,0,29
1970,189,215101,7013,22,34
1970,189,215102,5462,0,5
1970,189,215103,3219,0,5
1970,189,215104,4635,7,67
1970,189,215105,1851,41,0
1970,189,215201,3297,0,20
1970,189,215202,4435,0,5
1970,189,215203,6202,42,6
1970,189,215301,4113,17,0
1970,189,215302,3336,68,24
1970,189,2154,6236,35,37
1970,189,2155,6005,28,15
1970,189,2156,4722,1123,48
1970,189,2157,5469,1885,38
1970,189,2158,7667,709,47
1970,189,2159,5735,3701,48
1970,189,2160,1488,1262,5
1970,189,2161,5965,1027,136
1970,189,2162,9584,517,172
1970,189,2163,5643,58,135
1970,189,2164,6380,28,11
1970,189,2165,3616,98,43
1970,189,2166,3262,37,47
1970,189,2167,3793,1648,53
1970,189,2168,4621,24,36
1970,189,2169,3145,33,22
1970,189,2170,4006,18,11
1970,189,2171,1729,0,0
1970,189,2172,3038,213,22
1970,189,2173,3167,450,37
1970,189,2174,6101,167,250
1970,189,2175,6434,0,42
1970,189,2176,8991,20,11
1970,189,217701,3086,0,0
1970,189,217702,4317,28,9
1970,189,217801,1953,5,35
1970,189,217802,7569,14,21
1970,189,217803,11830,20,30
1970,189,217901,8406,38,29
1970,189,217902,4892,31,0
1970,189,218001,2295,0,0
1970,189,218002,964,0,4
1970,189,2181,3274,86,9
1970,189,2182,4802,17,0
1970,189,2183,4523,584,15
1970,189,2184,9406,155,27
1970,189,2185,6094,0,11
1970,189,2186,1816,1291,0
1970,189,2187,1531,16,0
1970,189,2188,6677,21,23
1970,189,2189,5138,1984,37
1970,189,2190,872,637,13
1970,189,2191,5254,9,7
1970,189,2192,3111,69,44
1970,189,2193,2064,438,10
1970,189,2194,6899,7,0
1970,189,2195,7722,49,0
1970,189,2196,5742,5,72
1970,189,2197,6738,0,5
1970,189,2198,8864,10,6
1970,189,2199,7592,0,5
1970,189,2200,10474,4,4
