year,countyID,tractID,white,black,other
1960,189,101,4764,89,0
1960,189,102,8069,0,8
1960,189,103,4701,54,1
1960,189,104,5301,0,0
1960,189,105,9223,0,5
1960,189,106,9168,69,2
1960,189,107,3356,0,0
1960,189,108,2262,0,0
1960,189,109,3369,12,2
1960,189,110,6488,1,5
1960,189,111,11003,3,6
1960,189,112,8660,0,3
1960,189,113,14772,9,15
1960,189,114,1277,1132,5
1960,189,115,4650,60,3
1960,189,116,7288,2,12
1960,189,117,4612,0,0
1960,189,118,5985,1,7
1960,189,119,3343,0,0
1960,189,120,11782,1,1
1960,189,121,11220,3,5
1960,189,122,11332,7,24
1960,189,123,5581,2,2
1960,189,124,2751,0,0
1960,189,125,6020,0,2
1960,189,126,6246,15,3
1960,189,127,10243,1,15
1960,189,128,1084,6503,0
1960,189,129,7322,246,9
1960,189,130,1511,23,0
1960,189,131,4161,17,2
1960,189,132,5638,1,1
1960,189,133,7253,1,5
1960,189,134,10139,3,8
1960,189,135,7103,0,15
1960,189,136,6592,3,9
1960,189,137,9901,42,4
1960,189,138,7611,0,1
1960,189,139,4824,420,24
1960,189,140,2341,253,0
1960,189,141,2100,111,0
1960,189,142,4923,0,5
1960,189,143,5315,1,9
1960,189,144,7676,7,4
1960,189,145,4419,0,25
1960,189,146,11632,0,5
1960,189,147,8626,490,13
1960,189,148,9306,0,3
1960,189,149,4534,7,0
1960,189,150,3536,200,4
1960,189,151,2903,37,0
1960,189,152,2113,7,2
1960,189,153,5494,76,4
1960,189,154,6241,125,6
1960,189,155,5576,31,0
1960,189,156,3782,806,7
1960,189,157,8601,3,6
1960,189,158,9305,17,30
1960,189,159,9739,5,10
1960,189,160,3501,1,10
1960,189,161,8903,32,7
1960,189,162,11019,30,30
1960,189,163,5053,37,90
1960,189,164,6756,134,2
1960,189,165,3867,21,13
1960,189,166,4195,22,0
1960,189,167,4979,1034,1
1960,189,168,5374,8,9
1960,189,169,3532,13,5
1960,189,170,4344,2,4
1960,189,171,1558,7,7
1960,189,172,2908,167,5
1960,189,173,3471,596,3
1960,189,174,7375,3,57
1960,189,175,4822,76,12
1960,189,176,6478,17,0
1960,189,177,2720,36,4
1960,189,178,5894,25,2
1960,189,179,8278,16,1
1960,189,180,2405,51,4
1960,189,181,3408,43,1
1960,189,182,4867,1,33
1960,189,183,4437,418,0
1960,189,184,8449,51,12
1960,189,185,5856,8,4
1960,189,186,2795,424,3
1960,189,187,1539,13,0
1960,189,188,6994,37,17
1960,189,189,6105,376,42
1960,189,190,1083,1768,1
1960,189,191,5412,0,14
1960,189,192,3306,3,9
1960,189,193,2706,150,3
1960,189,194,7562,25,0
1960,189,195,8560,5,6
1960,189,196,4719,0,11
1960,189,197,7083,2,12
1960,189,198,7990,0,4
1960,189,199,7235,2,1
1960,189,200,9100,0,2
1960,189,201,7374,1,4
1960,189,202,11152,8,3
1960,189,203,2487,105,3
1960,189,204,8720,149,11
1960,189,205,6905,0,0
1960,189,206,6325,1,1
1960,189,207,7508,4,10
1960,189,208,10457,0,4
1960,189,209,3968,0,16
1960,189,210,3110,1879,14
1960,189,211,1561,0,0
1960,189,212,4496,1,18
1960,189,213,6171,0,2
1960,189,214,3765,2,0
1960,189,215,4471,9,7
1960,189,216,3777,298,2
1960,510,1A,3622,0,0
1960,510,1B,4164,1,0
1960,510,1C,5890,0,0
1960,510,1D,4649,209,3
1960,510,1E,4728,2,4
1960,510,1F,2007,79,0
1960,510,1G,4965,102,6
1960,510,2A,3663,1,0
1960,510,2B,8759,2,18
1960,510,2C,2977,0,1
1960,510,2D,3320,5,0
1960,510,2E,2685,0,0
1960,510,3A,4326,1,2
1960,510,3B,5438,0,2
1960,510,3C,1326,1,0
1960,510,3D,3599,0,4
1960,510,3E,1584,0,1
1960,510,3F,2041,0,3
1960,510,3G,4143,1,18
1960,510,4A,4686,0,13
1960,510,4B,5822,15,21
1960,510,4C,3621,46,32
1960,510,4D,556,0,3
1960,510,5A,4421,22,17
1960,510,5B,6167,33,47
1960,510,5C,5458,2144,35
1960,510,5D,2744,4678,19
1960,510,5E,2244,8839,38
1960,510,6A,2034,8925,10
1960,510,6B,2394,4167,12
1960,510,6C,2950,4874,9
1960,510,6D,2258,4285,8
1960,510,6E,1594,6514,55
1960,510,6F,967,6555,9
1960,510,6G,738,7514,18
1960,510,7A,988,10,0
1960,510,7B,3258,0,0
1960,510,7C,6613,6,6
1960,510,7D,6022,3,8
1960,510,7E,5131,1,4
1960,510,7F,3290,224,0
1960,510,7G,3972,2366,1
1960,510,8A,4487,0,9
1960,510,8B,2940,0,2
1960,510,8C,3074,1,0
1960,510,8D,1122,2,0
1960,510,8E,1307,86,0
1960,510,8F,147,0,0
1960,510,9A,5934,6,2
1960,510,9B,670,40,0
1960,510,9C,4416,16,2
1960,510,9D,3124,4,0
1960,510,9E,3951,1,2
1960,510,10A,2488,5483,7
1960,510,10B,5454,979,3
1960,510,10C,985,7008,10
1960,510,10D,3173,3409,9
1960,510,10E,5891,12,2
1960,510,11A,37,12111,11
1960,510,11B,153,9365,28
1960,510,11C,46,8946,33
1960,510,11D,362,9212,13
1960,510,11E,839,7715,2
1960,510,12A,8115,107,55
1960,510,12B,1777,6062,33
1960,510,12C,653,7256,11
1960,510,12D,5709,1475,58
1960,510,13A,8259,802,12
1960,510,13B,3345,0,2
1960,510,13C,1928,8,0
1960,510,13D,1684,0,6
1960,510,14A,11984,9,10
1960,510,14B,7312,1,13
1960,510,14C,7819,1,4
1960,510,15A,4645,2,0
1960,510,15B,3518,1,3
1960,510,15C,6351,9,7
1960,510,15D,4239,3,1
1960,510,15E,8329,2,1
1960,510,15F,7832,270,4
1960,510,15G,5641,2,1
1960,510,16A,4511,0,6
1960,510,16B,7806,1,4
1960,510,16C,9227,19,5
1960,510,16D,7427,12,24
1960,510,16E,6991,11,7
1960,510,17A,3915,6,0
1960,510,17B,13443,7,16
1960,510,17C,9198,12,43
1960,510,17D,8306,23,9
1960,510,18A,5204,66,3
1960,510,18B,6423,204,16
1960,510,18C,993,181,14
1960,510,18D,25,234,0
1960,510,18E,1965,3660,24
1960,510,19A,9032,145,93
1960,510,19B,2439,4999,81
1960,510,19C,5193,2230,38
1960,510,20A,1411,4848,1
1960,510,20B,4815,20,6
1960,510,20C,10031,1076,7
1960,510,21A,573,4345,8
1960,510,21B,252,10973,23
1960,510,21C,112,20715,6
1960,510,21D,380,2000,8
1960,510,22A,1520,4536,7
1960,510,22B,151,984,0
1960,510,22C,247,74,0
1960,510,22D,6611,1275,111
1960,510,23A,11210,3,20
1960,510,23B,9367,603,66
1960,510,23C,8775,1,12
1960,510,23D,12610,108,31
1960,510,23E,2415,357,24
1960,510,24A,9049,2,44
1960,510,24B,7039,1,5
1960,510,24C,10500,1,9
1960,510,24D,1491,0,5
1960,510,24E,3194,13,2
1960,510,25A,587,520,4
1960,510,25B,2276,7562,47
1960,510,25C,1542,13,16
1960,510,25D,543,18,0
1960,510,26A,9051,291,4
1960,510,26B,2048,183,1
1960,510,26C,5245,6,6
1960,510,26D,3492,2,3
1960,510,26E,3777,5,3
