year,countyID,tractID,white,black,other
1980,189,2101,6444,130,48
1980,189,2102,6839,42,18
1980,189,2103,4064,75,14
1980,189,2104,3721,456,14
1980,189,2105,4795,5089,87
1980,189,2106,7301,179,33
1980,189,2107,13121,1161,163
1980,189,210802,10108,4390,122
1980,189,210803,4961,199,34
1980,189,210804,6023,957,85
1980,189,210901,6545,278,67
1980,189,210902,11721,913,102
1980,189,210903,9005,347,75
1980,189,2110,9117,183,52
1980,189,2111,12465,342,76
1980,189,2112,10000,91,58
1980,189,211301,8194,97,39
1980,189,211302,6428,347,61
1980,189,211303,14513,340,125
1980,189,211401,5042,86,30
1980,189,211402,1394,604,21
1980,189,2115,1168,3392,26
1980,189,2116,7315,431,54
1980,189,2117,4486,54,19
1980,189,2118,8113,1419,73
1980,189,2119,4324,1204,65
1980,189,2120,8436,3804,118
1980,189,2121,6198,2977,104
1980,189,2122,2115,8503,77
1980,189,2123,3912,1636,79
1980,189,2124,2061,626,24
1980,189,2125,5093,265,69
1980,189,2126,4684,344,38
1980,189,2127,6772,2908,99
1980,189,2128,272,4464,8
1980,189,2129,2888,2610,41
1980,189,2130,817,22,17
1980,189,213101,8470,246,82
1980,189,213102,3155,33,18
1980,189,213201,7209,173,85
1980,189,213202,7222,116,121
1980,189,2133,8623,277,115
1980,189,2134,8051,543,60
1980,189,2135,5755,84,37
1980,189,2136,4132,1852,104
1980,189,2137,4874,2404,74
1980,189,2138,1190,7612,45
1980,189,2139,209,2662,3
1980,189,2140,131,1050,2
1980,189,2141,340,1595,36
1980,189,2142,1965,2246,25
1980,189,2143,3673,1098,32
1980,189,2144,5858,215,75
1980,189,2145,3601,40,37
1980,189,2146,9276,508,114
1980,189,2147,7359,873,79
1980,189,2148,6435,75,68
1980,189,2149,6210,228,110
1980,189,215001,2871,76,69
1980,189,215002,6438,214,105
1980,189,215003,4440,98,124
1980,189,215101,9709,234,202
1980,189,215102,4946,101,147
1980,189,215103,2957,24,46
1980,189,215104,8890,225,438
1980,189,215105,1910,50,39
1980,189,215201,5869,135,268
1980,189,215202,6090,203,151
1980,189,215203,9572,85,337
1980,189,215301,4147,38,82
1980,189,215302,3334,40,89
1980,189,2154,5593,24,49
1980,189,2155,4682,292,81
1980,189,2156,3063,2033,102
1980,189,2157,2162,5506,65
1980,189,2158,6087,1358,101
1980,189,2159,2723,6302,95
1980,189,2160,446,1904,13
1980,189,2161,4497,2094,375
1980,189,2162,7583,1203,224
1980,189,2163,5119,195,263
1980,189,2164,5443,36,97
1980,189,2165,3181,169,58
1980,189,2166,2755,51,78
1980,189,2167,2919,1546,64
1980,189,2168,3996,46,61
1980,189,2169,2567,203,53
1980,189,2170,3507,242,61
1980,189,2171,1273,76,23
1980,189,2172,2530,338,87
1980,189,2173,2826,289,41
1980,189,2174,3638,723,162
1980,189,2175,5813,27,85
1980,189,2176,7626,32,128
1980,189,217701,5294,25,241
1980,189,217702,7038,92,101
1980,189,217802,8575,27,92
1980,189,217804,9453,99,223
1980,189,217805,7331,56,125
1980,189,217806,5854,32,69
1980,189,217807,6987,44,93
1980,189,217902,10193,183,191
1980,189,217903,8378,150,156
1980,189,217904,6865,99,78
1980,189,218001,7566,166,184
1980,189,218002,5237,38,86
1980,189,2181,3176,78,25
1980,189,2182,4454,26,25
1980,189,2183,3837,524,47
1980,189,2184,8949,75,56
1980,189,2185,4920,29,36
1980,189,2186,1679,1151,18
1980,189,2187,1693,27,8
1980,189,2188,5941,58,36
1980,189,2189,3778,2257,63
1980,189,2190,679,661,15
1980,189,2191,4342,39,36
1980,189,2192,2551,135,29
1980,189,2193,1824,432,9
1980,189,2194,5905,9,28
1980,189,2195,6475,16,47
1980,189,2196,4972,28,71
1980,189,2197,6400,13,89
1980,189,2198,8146,48,70
1980,189,2199,6596,2,39
1980,189,2200,9486,10,50
1980,189,2201,9114,12,74
1980,189,2202,7436,1,55
1980,189,2203,1648,81,14
1980,189,220402,10408,30,119
1980,189,220403,9732,33,120
1980,189,220404,12015,259,69
1980,189,2205,13694,25,141
1980,189,220601,5414,1,25
1980,189,220602,5902,5,40
1980,189,220701,3096,5,10
1980,189,220702,4351,2,27
1980,189,220703,3240,0,29
1980,189,220801,6024,23,82
1980,189,220802,5489,27,112
1980,189,220803,5296,2,39
1980,189,2209,2904,0,29
1980,189,2210,2840,1050,40
1980,189,2211,1808,28,15
1980,189,221201,2224,0,24
1980,189,221202,5865,5,85
1980,189,221301,7469,4,68
1980,189,221302,6656,23,63
1980,189,221303,8537,16,87
1980,189,221401,5683,21,44
1980,189,221402,9303,64,80
1980,189,2215,8683,14,80
1980,189,2216,8209,219,93
1980,510,1011,3249,0,21
1980,510,1012,3736,0,20
1980,510,1013,4959,0,7
1980,510,1014,3238,177,32
